;PWL;TYPE;L2 English;L3 German;L4 French;L5 Swedish;L6 Danish;L7 Norwegian;L8 Finnish;L9 Italian;L10;L11;L12;L13;L14
g_MCfg.Stacker.StartPosition[8];103;0;[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8];[T] Stacker:StartPosition[8]
g_MCfg.Stacker.StartPosition[9];104;0;[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9];[T] Stacker:StartPosition[9]
g_MCfg.Stacker.StartPosition[10];105;0;[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10];[T] Stacker:StartPosition[10]
g_MCfg.Stacker.StopPosition[0];106;0;[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0];[T] Stacker:StopPosition[0]
g_MCfg.Stacker.StopPosition[1];107;0;[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1];[T] Stacker:StopPosition[1]
g_MCfg.Stacker.StopPosition[2];108;0;[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2];[T] Stacker:StopPosition[2]
g_MCfg.Stacker.StopPosition[3];109;0;[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3];[T] Stacker:StopPosition[3]
g_MCfg.Stacker.StopPosition[4];110;0;[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4];[T] Stacker:StopPosition[4]
g_MCfg.Stacker.StopPosition[5];111;0;[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5];[T] Stacker:StopPosition[5]
g_MCfg.Stacker.StopPosition[6];112;0;[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6];[T] Stacker:StopPosition[6]
g_MCfg.Stacker.StopPosition[7];113;0;[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7];[T] Stacker:StopPosition[7]
g_MCfg.Stacker.StopPosition[8];114;0;[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8];[T] Stacker:StopPosition[8]
g_MCfg.Stacker.StopPosition[9];115;0;[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9];[T] Stacker:StopPosition[9]
g_MCfg.Stacker.StopPosition[10];116;0;[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10];[T] Stacker:StopPosition[10]
g_MCfg.Stacker.FlapsDelayOpen;117;0;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen;[T] Stacker:FlapsDelayOpen
g_MCfg.Stacker.FlapsTimeOpen;118;0;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen;[T] Stacker:FlapsTimeOpen
g_MCfg.Stacker.FlapsRestartDelay;119;0;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay;[T] Stacker:FlapsRestartDelay
g_MCfg.Stacker.LiftRaiseDelay;120;0;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay;[T] Stacker:LiftRaiseDelay
g_MCfg.Stacker.JamOnDelay;121;0;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay;[T] Stacker:JamOnDelay
g_MCfg.Stacker.DropTime;122;0;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime;[T] Stacker:DropTime
g_MCfg.Stacker.TransportOffSetTime;123;0;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime;[T] Stacker:TransportOffSetTime
g_MCfg.Stacker.IndexingDelay;124;0;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay;[T] Stacker:IndexingDelay
g_MCfg.Stacker.LengthSorting;125;0;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting;[F] Stacker:LengthSorting
g_MCfg.Stacker.BeltExtention;126;0;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention;[T] Stacker:BeltExtention
g_MCfg.Stacker.MaxSize;127;0;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize;[T] Stacker:MaxSize
g_MCfg.Stacker.MaxSinkDelay;128;0;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay;[T] Stacker:MaxSinkDelay
g_MCfg.Outlet.PressTime;129;0;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime;[T] Outlet:PressTime
g_MCfg.Outlet.IndexStopTime;130;0;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime;[T] Outlet:IndexStopTime
g_MCfg.Outlet.RollOffReturnTime;131;0;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime;[T] Outlet:RollOffReturnTime
g_MCfg.Outlet.CrossBeltLength;132;0;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength;[T] Outlet:CrossBeltLength
g_MCfg.Outlet.StartPosition[0];133;0;[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0];[T] Outlet:StartPosition[0]
g_MCfg.Outlet.StartPosition[1];134;0;[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1];[T] Outlet:StartPosition[1]
g_MCfg.Outlet.StartPosition[2];135;0;[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2];[T] Outlet:StartPosition[2]
g_MCfg.Outlet.StartPosition[3];136;0;[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3];[T] Outlet:StartPosition[3]
g_MCfg.Outlet.StartPosition[4];137;0;[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4];[T] Outlet:StartPosition[4]
g_MCfg.Outlet.StartPosition[5];138;0;[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5];[T] Outlet:StartPosition[5]
g_MCfg.Outlet.StartPosition[6];139;0;[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6];[T] Outlet:StartPosition[6]
g_MCfg.Outlet.StartPosition[7];140;0;[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7];[T] Outlet:StartPosition[7]
g_MCfg.Outlet.StartPosition[8];141;0;[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8];[T] Outlet:StartPosition[8]
g_MCfg.Outlet.StartPosition[9];142;0;[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9];[T] Outlet:StartPosition[9]
g_MCfg.Outlet.StartPosition[10];143;0;[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10];[T]Outlet:StartPosition[10]
g_MCfg.Outlet.StopPosition[0];144;0;[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0];[T]Outlet:StopPosition[0]
g_MCfg.Outlet.StopPosition[1];145;0;[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1];[T]Outlet:StopPosition[1]
g_MCfg.Outlet.StopPosition[2];146;0;[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2];[T]Outlet:StopPosition[2]
g_MCfg.Outlet.StopPosition[3];147;0;[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3];[T]Outlet:StopPosition[3]
g_MCfg.Outlet.StopPosition[4];148;0;[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4];[T]Outlet:StopPosition[4]
g_MCfg.Outlet.StopPosition[5];149;0;[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5];[T]Outlet:StopPosition[5]
g_MCfg.Outlet.StopPosition[6];150;0;[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6];[T]Outlet:StopPosition[6]
g_MCfg.Outlet.StopPosition[7];151;0;[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7];[T]Outlet:StopPosition[7]
g_MCfg.Outlet.StopPosition[8];152;0;[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8];[T]Outlet:StopPosition[8]
g_MCfg.Outlet.StopPosition[9];153;0;[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9];[T]Outlet:StopPosition[9]
g_MCfg.Outlet.StopPosition[10];154;0;[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10];[T]Outlet:StopPosition[10]
g_MCfg.Outlet.ConveyorRuntime;155;0;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime;[T]Outlet:ConveyorRuntime
g_MCfg.Outlet.CrossBeltNr[0];156;0;[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0];[T]Outlet:CrossBeltNr[0]
g_MCfg.Outlet.CrossBeltNr[1];157;0;[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1];[T]Outlet:CrossBeltNr[1]
g_MCfg.Outlet.CrossBeltNr[2];158;0;[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2];[T]Outlet:CrossBeltNr[2]
g_MCfg.Outlet.CrossBeltNr[3];159;0;[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3];[T]Outlet:CrossBeltNr[3]
g_MCfg.Outlet.CrossBeltNr[4];160;0;[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4];[T]Outlet:CrossBeltNr[4]
